Time,max
190821044145,11.4
190821044158,10.9
190821044212,11.1
190821044225,9.9
190821044239,10.9
190821044252,10.3
190821044305,10.6
190821044319,10.5
190821044332,10.6
190821044345,9.7
190821044359,10.1
190821044412,9.9
190821044425,10.8
190821044439,10.5
190821044452,9.4
190821044505,9.3
190821044519,9.6
190821044532,10.0
190821044545,9.4
190821044559,11.2
190821044612,10.1
190821044625,9.1
190821044639,10.2
190821044652,10.2
190821044705,12.6
190821044719,10.0
190821044732,9.5
190821044745,9.9
190821044759,9.8
190821044812,9.8
190821044825,10.0
190821044839,10.3
190821044852,10.1
190821044905,9.6
190821044919,9.7
190821044932,9.9
190821044945,10.0
190821044959,10.4
190821045012,8.9
190821045025,9.8
190821045039,10.3
190821045052,10.0
190821045105,10.8
190821045119,10.2
190821045132,10.0
190821045145,9.5
190821045159,9.8
190821045212,9.4
190821045225,9.7
190821045239,10.1
190821045252,10.4
190821045305,9.8
190821045319,10.3
190821045332,9.8
190821045345,10.9
190821045359,9.6
190821045412,9.2
190821045425,9.3
190821045439,10.3
190821045452,9.3
190821045505,10.5
190821045519,9.3
190821045532,9.3
190821045545,9.4
190821045559,9.2
190821045612,9.3
190821045625,9.2
190821045639,9.2
190821045652,9.0
190821045705,8.4
190821045719,9.4
190821045732,9.0
190821045745,8.9
190821045759,9.9
190821045812,9.2
190821045825,9.6
190821045839,10.0
190821045852,12.0
190821045905,9.4
190821045919,9.7
190821045932,7.9
190821045945,9.2
190821045959,9.2
190821050012,9.4
190821050025,9.4
190821050039,9.3
190821050052,9.4
190821050105,9.9
190821050119,9.5
190821050132,8.8
190821050145,9.8
190821050159,9.4
190821050212,9.4
190821050225,9.3
190821050239,9.5
190821050252,9.2
190821050305,9.5
190821050319,9.6
190821050332,9.2
190821050345,10.1
190821050359,12.9
190821050412,9.8
190821050425,10.2
190821050439,9.9
190821050452,9.7
190821050506,10.6
190821050519,10.8
190821050532,10.8
190821050546,10.6
190821050559,10.3
190821050612,10.1
190821050626,10.0
190821050639,9.8
190821050652,10.3
190821050706,10.7
190821050719,9.7
190821050732,9.9
190821050746,9.8
190821050759,10.2
190821050812,9.2
190821050826,9.4
190821050839,9.1
190821050853,10.1
190821050906,9.5
190821050919,10.0
190821050933,10.4
190821050946,9.9
190821050959,14.6
190821051013,9.8
190821051026,9.8
190821051039,9.5
190821051053,9.8
190821051106,10.4
190821051119,10.8
190821051133,9.8
190821051146,9.7
190821051159,10.6
190821051213,10.0
190821051226,10.8
190821051239,10.4
190821051253,10.7
190821051306,10.2
190821051319,9.5
190821051333,9.5
190821051346,9.4
190821051400,9.7
190821051413,10.1
190821051426,9.6
190821051440,10.0
190821051453,9.3
190821051506,9.8
190821051520,10.3
190821051533,10.5
190821051546,10.1
190821051600,11.2
190821051613,10.2
190821051626,10.3
190821051640,10.9
190821051653,9.4
190821051706,9.8
190821051720,9.2
190821051733,12.4
190821051746,10.0
190821051800,9.8
190821051813,9.7
190821051826,10.3
190821051840,11.4
190821051853,10.7
190821051906,11.2
190821051920,11.1
190821051933,10.8
190821051946,10.5
190821052000,11.6
190821052013,10.8
190821052026,11.0
190821052040,11.0
190821052053,10.4
190821052107,10.9
190821052120,11.2
190821052133,12.7
190821052147,11.6
190821052200,10.7
190821052214,12.2
190821052227,11.9
190821052240,12.0
190821052254,11.5
190821052307,11.3
190821052320,12.7
190821052334,12.7
190821052347,12.2
190821052400,11.9
190821052414,12.3
190821052427,12.7
190821052440,12.5
190821052454,12.9
190821052507,13.3
190821052520,13.0
190821052534,13.4
190821052547,11.9
190821052600,12.4
190821052614,12.2
190821052627,11.8
190821052640,12.4
190821052654,12.5
190821052707,11.7
190821052720,12.3
190821052734,13.2
190821052747,12.4
190821052801,12.6
190821052814,12.6
190821052827,12.2
190821052841,13.1
190821052854,12.9
190821052907,13.6
190821052921,12.3
190821052934,11.4
190821052947,12.1
190821053001,12.6
190821053014,12.2
190821053027,12.4
190821053041,12.7
190821053054,11.6
190821053107,12.7
190821053121,12.5
190821053134,11.9
190821053147,12.8
190821053201,13.3
190821053214,13.3
190821053227,12.0
190821053241,12.8
190821053254,13.3
190821053308,12.9
190821053321,13.2
190821053334,14.1
190821053348,12.3
190821053401,12.7
190821053414,12.9
190821053428,12.3
190821053441,12.2
190821053454,12.4
190821053508,13.7
190821053521,12.4
190821053534,12.7
190821053548,12.7
190821053601,12.5
190821053614,13.5
190821053628,12.5
190821053641,12.7
190821053654,13.8
190821053708,12.4
190821053721,11.7
190821053735,12.2
190821053748,12.2
190821053801,12.4
190821053815,13.3
190821053828,12.1
190821053841,12.1
190821053855,12.7
190821053908,13.1
190821053921,12.1
190821053935,12.3
190821053948,12.3
190821054001,12.5
190821054015,12.6
190821054028,12.5
190821054042,13.1
190821054055,14.2
190821054108,12.9
190821054122,12.1
190821054135,12.4
190821054148,13.3
190821054202,12.9
190821054215,12.3
190821054228,13.6
190821054242,13.0
190821054255,12.6
190821054308,12.9
190821054322,13.0
190821054335,12.0
190821054348,12.3
190821054402,12.8
190821054415,12.5
190821054428,12.3
190821054442,12.2
190821054455,12.1
190821054508,12.2
