index,Date,time,max,region,label,record
280,2019-08-21,01:02:20,11.2,< 1.5,,
281,2019-08-21,01:02:33,10.6,< 1.5,,
282,2019-08-21,01:02:47,9.9,< 1.5,,
283,2019-08-21,01:03:00,10.1,< 1.5,,
284,2019-08-21,01:03:13,11.4,< 1.5,,
285,2019-08-21,01:03:27,10.0,< 1.5,,
286,2019-08-21,01:03:40,10.0,< 1.5,,
287,2019-08-21,01:03:53,10.5,< 1.5,,
288,2019-08-21,01:04:07,9.1,< 1.5,,
289,2019-08-21,01:04:20,9.3,< 1.5,,
290,2019-08-21,01:04:33,9.0,< 1.5,,
291,2019-08-21,01:04:46,9.6,< 1.5,,
292,2019-08-21,01:05:00,10.3,< 1.5,,
293,2019-08-21,01:05:13,10.1,< 1.5,,
294,2019-08-21,01:05:26,10.9,< 1.5,,
295,2019-08-21,01:05:40,11.2,< 1.5,,
296,2019-08-21,01:05:53,10.7,< 1.5,,
297,2019-08-21,01:06:07,10.7,< 1.5,,
298,2019-08-21,01:06:20,11.4,< 1.5,,
299,2019-08-21,01:06:33,11.2,< 1.5,,
300,2019-08-21,01:06:47,11.3,< 1.5,,
301,2019-08-21,01:07:00,11.5,< 1.5,,
302,2019-08-21,01:07:13,12.2,< 1.5,,
303,2019-08-21,01:07:26,11.7,< 1.5,,
304,2019-08-21,01:07:40,12.0,< 1.5,,
305,2019-08-21,01:07:53,11.2,< 1.5,,
306,2019-08-21,01:08:06,10.9,< 1.5,,
307,2019-08-21,01:08:20,11.9,< 1.5,,
308,2019-08-21,01:08:33,11.7,< 1.5,,
309,2019-08-21,01:08:46,12.3,< 1.5,,
310,2019-08-21,01:09:00,12.5,1.5 ~ 3,,
311,2019-08-21,01:09:13,12.4,1.5 ~ 3,,
312,2019-08-21,01:09:26,11.5,< 1.5,,
313,2019-08-21,01:09:40,12.0,< 1.5,,
314,2019-08-21,01:09:53,11.6,< 1.5,,
315,2019-08-21,01:10:06,11.7,< 1.5,,
316,2019-08-21,01:10:20,11.6,< 1.5,,
317,2019-08-21,01:10:33,11.8,< 1.5,,
318,2019-08-21,01:10:46,11.0,< 1.5,,
319,2019-08-21,01:11:00,11.9,< 1.5,,
320,2019-08-21,01:11:13,12.1,< 1.5,,
321,2019-08-21,01:11:26,12.1,< 1.5,,
322,2019-08-21,01:11:40,11.4,< 1.5,,
323,2019-08-21,01:11:53,12.4,1.5 ~ 3,,
324,2019-08-21,01:12:06,11.9,< 1.5,,
325,2019-08-21,01:12:20,11.7,< 1.5,,
326,2019-08-21,01:12:33,11.9,< 1.5,,
327,2019-08-21,01:12:46,12.2,< 1.5,,
328,2019-08-21,01:13:00,11.5,< 1.5,,
329,2019-08-21,01:13:13,12.2,< 1.5,,
330,2019-08-21,01:13:26,11.0,< 1.5,,
331,2019-08-21,01:13:40,11.9,< 1.5,,
332,2019-08-21,01:13:53,12.9,1.5 ~ 3,,
333,2019-08-21,01:14:06,12.1,< 1.5,,
334,2019-08-21,01:14:20,12.7,1.5 ~ 3,,
335,2019-08-21,01:14:33,11.7,< 1.5,,
336,2019-08-21,01:14:46,11.8,< 1.5,,
337,2019-08-21,01:15:00,11.5,< 1.5,,
338,2019-08-21,01:15:13,12.4,1.5 ~ 3,,
339,2019-08-21,01:15:26,12.5,1.5 ~ 3,,
340,2019-08-21,01:15:40,12.3,< 1.5,,
341,2019-08-21,01:15:53,11.7,< 1.5,,
342,2019-08-21,01:16:06,11.7,< 1.5,,
343,2019-08-21,01:16:20,11.7,< 1.5,,
344,2019-08-21,01:16:33,12.1,< 1.5,,
345,2019-08-21,01:16:46,11.4,< 1.5,,
346,2019-08-21,01:17:00,12.0,< 1.5,,
347,2019-08-21,01:17:13,12.0,< 1.5,,
348,2019-08-21,01:17:26,11.4,< 1.5,,
349,2019-08-21,01:17:40,11.7,< 1.5,,
350,2019-08-21,01:17:53,12.5,1.5 ~ 3,,
351,2019-08-21,01:18:07,11.2,< 1.5,,
352,2019-08-21,01:18:20,11.4,< 1.5,,
353,2019-08-21,01:18:33,11.4,< 1.5,,
354,2019-08-21,01:18:47,11.6,< 1.5,,
355,2019-08-21,01:19:00,11.8,< 1.5,,
356,2019-08-21,01:19:13,11.5,< 1.5,,
